Dataset,Model,Test_Accuracy_Mean,Test_Accuracy_Std,Learning_Rate,Weight_Decay,Adjusted_Homophily,Node_Label_Informativeness,Num_Layers
Cora,gcn,0.8900,0.0038,0.01,0.0005,0.7637,0.5763,3
Citeseer,gcn,0.7500,0.0069,0.01,0.0005,0.6621,0.4653,3
Texas,gcn,0.5586,0.0255,0.001,0.0005,-0.2260,0.0186,3
Wisconsin,gcn,0.5267,0.0340,0.001,0.0005,-0.1323,0.0874,3
Chameleon,gcn,0.3604,0.0171,0.001,0.0005,0.0339,0.0516,3
Squirrel,gcn,0.2660,0.0043,0.001,0.0005,0.0074,0.0277,3
Actor,gcn,0.2895,0.0134,0.001,0.0005,0.0062,0.0018,3
Chameleon,gcn,0.3333,0.0055,0.001,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3473,0.0109,0.001,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3421,0.0055,0.001,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3670,0.0047,0.01,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3407,0.0202,0.01,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3810,0.0276,0.01,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3626,0.0142,0.01,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3993,0.0052,0.01,0.0005,0.0339,0.0516,3
Chameleon,gcn,0.3502,0.0163,0.01,0.0005,0.0339,0.0516,3
Cora,gcn,0.8927,0.0019,0.01,0.0005,0.7637,0.5763,3
Squirrel,gcn,0.2792,0.0058,0.001,0.0005,0.0074,0.0277,3
Cora,gcn,0.8726,0.0034,0.01,0.0005,0.7637,0.5763,3
Citeseer,gcn,0.7327,0.0059,0.01,0.0005,0.6621,0.4653,3
Pubmed,gcn,0.8595,0.0004,0.01,0.0005,0.6860,0.4223,3
Cornell,gcn,0.2883,0.0127,0.001,0.0005,-0.2029,0.1574,3
Texas,gcn,0.5676,0.0000,0.001,0.0005,-0.2260,0.0186,3
Wisconsin,gcn,0.4333,0.0094,0.001,0.0005,-0.1323,0.0874,3
Chameleon,gcn,0.3670,0.0100,0.001,0.0005,0.0339,0.0516,3
Squirrel,gcn,0.2622,0.0070,0.001,0.0005,0.0074,0.0277,3
Actor,gcn,0.2752,0.0065,0.001,0.0005,0.0062,0.0018,3
